time_s,pos_x_px,pos_y_px,vx_px_s,vy_px_s,speed_px_s
0.123840,330.000,1271.000,0.062407,-0.050054,0.080000
0.238797,330.000,1271.000,0.062392,-0.050073,0.080000
0.360898,297.000,1291.000,0.062365,-0.050105,0.080000
0.472939,297.000,1291.000,0.062332,-0.050147,0.080000
0.593088,297.000,1291.000,0.062286,-0.050204,0.080000
0.715879,297.000,1291.000,0.062229,-0.050275,0.080000
0.835513,297.000,1291.000,0.062156,-0.050364,0.080000
0.948117,281.000,1300.000,0.062060,-0.050483,0.080000
1.070212,281.000,1300.000,0.061924,-0.050650,0.080000
1.178724,281.000,1300.000,0.061776,-0.050831,0.080000
1.291864,281.000,1300.000,0.061594,-0.051051,0.080000
1.418914,281.000,1300.000,0.061373,-0.051316,0.080000
1.538854,270.000,1310.000,0.061159,-0.051572,0.080000
1.653809,270.000,1309.000,0.060946,-0.051822,0.080000
1.771062,270.000,1309.000,0.060723,-0.052083,0.080000
1.885938,270.000,1309.000,0.060499,-0.052344,0.080000
1.998047,270.000,1309.000,0.060274,-0.052603,0.080000
2.122220,270.000,1309.000,0.060023,-0.052889,0.080000
2.245611,278.000,1309.000,0.059785,-0.053158,0.080000
2.372485,278.000,1309.000,0.059549,-0.053422,0.080000
2.487996,278.000,1309.000,0.059345,-0.053649,0.080000
2.600790,278.000,1309.000,0.059155,-0.053858,0.080000
2.707697,278.000,1309.000,0.058982,-0.054047,0.080000
2.816870,278.000,1309.000,0.058815,-0.054229,0.080000
2.928314,270.000,1312.000,0.058659,-0.054397,0.080000
3.040646,270.000,1312.000,0.058521,-0.054546,0.080000
3.163703,270.000,1312.000,0.058390,-0.054686,0.080000
3.282579,270.000,1312.000,0.058284,-0.054799,0.080000
3.394097,270.000,1312.000,0.058204,-0.054884,0.080000
3.518126,270.000,1312.000,0.058136,-0.054957,0.080000
3.624377,270.000,1312.000,0.058096,-0.054999,0.080000
3.736216,270.000,1312.000,0.058078,-0.055018,0.080000
3.846380,270.000,1312.000,0.058084,-0.055012,0.080000
3.954631,270.000,1312.000,0.058113,-0.054981,0.080000
4.059781,270.000,1312.000,0.058163,-0.054928,0.080000
4.167451,261.000,1316.000,0.058236,-0.054850,0.080000
4.277534,261.000,1316.000,0.058335,-0.054745,0.080000
4.396235,261.000,1316.000,0.058468,-0.054603,0.080000
4.515219,261.000,1316.000,0.058634,-0.054425,0.080000
4.619794,261.000,1316.000,0.058806,-0.054239,0.080000
4.730743,261.000,1316.000,0.059013,-0.054013,0.080000
4.840178,261.000,1316.000,0.059249,-0.053755,0.080000
4.954755,261.000,1316.000,0.059520,-0.053454,0.080000
5.058379,261.000,1315.000,0.059796,-0.053146,0.080000
5.164884,261.000,1315.000,0.060101,-0.052800,0.080000
5.272074,261.000,1315.000,0.060434,-0.052418,0.080000
5.383486,261.000,1315.000,0.060807,-0.051985,0.080000
5.493106,262.000,1316.000,0.061201,-0.051521,0.080000
5.604482,262.000,1316.000,0.061628,-0.051010,0.080000
5.708692,262.000,1317.000,0.062051,-0.050495,0.080000
5.816288,262.000,1317.000,0.062511,-0.049923,0.080000
5.925460,262.000,1317.000,0.063001,-0.049304,0.080000
6.047732,268.000,1318.000,0.063570,-0.048568,0.080000
6.175182,268.000,1318.000,0.064183,-0.047755,0.080000
6.290347,268.000,1318.000,0.064755,-0.046976,0.080000
6.402863,268.000,1318.000,0.065329,-0.046174,0.080000
6.539598,268.000,1318.000,0.066045,-0.045144,0.080000
6.657113,268.000,1318.000,0.066672,-0.044214,0.080000
6.764852,288.000,1327.000,0.067239,-0.043347,0.080000
6.874131,288.000,1327.000,0.067805,-0.042456,0.080000
6.978697,288.000,1327.000,0.068337,-0.041593,0.080000
7.092956,288.000,1327.000,0.068908,-0.040640,0.080000
7.225829,305.000,1334.000,0.069558,-0.039519,0.080000
7.336973,305.000,1334.000,0.070088,-0.038571,0.080000
7.464557,305.000,1334.000,0.070653,-0.037525,0.080000
7.577615,305.000,1334.000,0.071104,-0.036663,0.080000
7.687285,305.000,1334.000,0.071499,-0.035888,0.080000
7.797497,305.000,1334.000,0.071855,-0.035170,0.080000
7.907438,337.000,1356.000,0.072168,-0.034521,0.080000
